SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,128 Otis St #128,Newton,MA,02460,767000,3,1.5,,1528,,1934,,502,,,,,http://www.redfin.com/MA/Newton/128-Otis-St-02460/unit-128/home/11422853,,,N,Y,42.3467905,-71.2126792
PAST SALE,September-25-2018,Single Family Residential,8 Beach St,Newton,MA,02458,680000,3,2.0,Newton,1978,5757,1853,28,344,,Sold,,,http://www.redfin.com/MA/Newton/8-Beach-St-02458/home/11421943,MLS PIN,72377505,N,Y,42.3529248,-71.2037281
PAST SALE,,Single Family Residential,50 Lenglen Rd,Newton,MA,02458,750000,3,2.5,,1189,7220,1951,,631,,,,,http://www.redfin.com/MA/Newton/50-Lenglen-Rd-02458/home/11415832,,,N,Y,42.3546716,-71.1991334
PAST SALE,April-12-2018,Single Family Residential,35 Kilburn Rd,Newton,MA,02465,905000,3,2.5,West Newton,1552,6060,1945,194,583,,Sold,,,http://www.redfin.com/MA/West-Newton/35-Kilburn-Rd-02465/home/11431657,MLS PIN,72284704,N,Y,42.3546108,-71.2277218
PAST SALE,October-20-2017,Single Family Residential,2 Elmhurst Rd,Newton,MA,02458,680000,3,3.5,Newton,2339,10010,2018,368,291,,Sold,,,http://www.redfin.com/MA/Newton/2-Elmhurst-Rd-02458/home/11471359,MLS PIN,72201503,N,Y,42.3566401,-71.1728637
PAST SALE,April-30-2018,Single Family Residential,16 Barbara Rd,Newton,MA,02465,796000,3,2.0,West Newton,1400,7100,1940,176,569,,Sold,,,http://www.redfin.com/MA/West-Newton/16-Barbara-Rd-02465/home/11435083,MLS PIN,72286021,N,Y,42.3598162,-71.2275361
PAST SALE,,Single Family Residential,9 Jones Ct,Newton,MA,02458,675000,4,2.5,,1432,2957,1920,,471,,,,,http://www.redfin.com/MA/Newton/9-Jones-Ct-02458/home/11415520,,,N,Y,42.3574106,-71.1997368
PAST SALE,May-15-2018,Single Family Residential,176 Adams Ave,Newton,MA,02465,670000,3,2.0,Newton,1080,4500,1957,161,620,,Sold,,,http://www.redfin.com/MA/West-Newton/176-Adams-Ave-02465/home/11434479,MLS PIN,72311144,N,Y,42.3579017,-71.2318057
PAST SALE,June-15-2018,Single Family Residential,59 Underwood Ave,Newton,MA,02465,765900,4,2.0,Newton,1386,11869,1954,130,553,,Sold,,,http://www.redfin.com/MA/Newton/59-Underwood-Ave-02465/home/11442041,MLS PIN,72311736,N,Y,42.3599415,-71.2367763
PAST SALE,July-18-2018,Townhouse,2 No Park St #1,Watertown,MA,02472,851000,4,2.5,Watertown,2382,,1999,97,357,125,Sold,,,http://www.redfin.com/MA/Watertown/2-N-Park-St-02472/unit-1/home/145682159,MLS PIN,72329794,N,Y,42.3604504,-71.1876438
PAST SALE,August-21-2018,Townhouse,310 Tremont St #37,Newton,MA,02458,880000,4,3.5,Newton Corner,2455,,1994,63,358,75,Sold,,,http://www.redfin.com/MA/Newton/310-Tremont-St-02458/unit-37/home/145125848,MLS PIN,72293164,N,Y,42.3545537,-71.1806469
PAST SALE,August-7-2018,Single Family Residential,257 Linwood Ave,Newton,MA,02460,969000,5,3.0,Newtonville,2423,5975,1930,77,400,,Sold,,,http://www.redfin.com/MA/Newton/257-Linwood-Ave-02460/home/11420936,MLS PIN,72337505,N,Y,42.3592749,-71.2092046
PAST SALE,September-13-2018,Townhouse,20 Fayette St #20,Newton,MA,02458,715000,3,2.5,Newton Corner,1547,4469,1880,40,462,,Sold,,,http://www.redfin.com/MA/Newton/20-Fayette-St-02458/unit-20/home/105512031,MLS PIN,72345749,N,Y,42.360169,-71.1917966
PAST SALE,August-24-2018,Single Family Residential,28 Clinton St,Newton,MA,02458,760000,3,2.0,Newton,1780,3458,1900,60,427,,Sold,,,http://www.redfin.com/MA/Newton/28-Clinton-St-02458/home/11415689,MLS PIN,72360149,N,Y,42.3564215,-71.1995976
PAST SALE,August-23-2018,Single Family Residential,20 North St,Newton,MA,02460,865000,4,2.5,Newton,2086,7310,1952,61,415,,Sold,,,http://www.redfin.com/MA/Newton/20-North-St-02459/home/11493552,MLS PIN,72354050,N,Y,42.360186,-71.216178
PAST SALE,August-30-2018,Townhouse,161 Pearl St Unit B,Newton,MA,02458,900000,3,2.5,Newton,2335,7212,2005,54,385,,Sold,,,http://www.redfin.com/MA/Newton/161-Pearl-St-02458/unit-B/home/12439232,MLS PIN,72353961,N,Y,42.3591934,-71.1927286
PAST SALE,September-27-2018,Single Family Residential,15 James St,Newton,MA,02465,750000,4,2.0,Newton,1560,7500,1950,26,481,,Sold,,,http://www.redfin.com/MA/Newton/15-James-St-02465/home/11442516,MLS PIN,72387081,N,Y,42.3575772,-71.2377922
PAST SALE,October-19-2018,Single Family Residential,144 Derby St,Newton,MA,02465,655000,3,2.0,West Newton,1428,9919,1930,4,459,,Sold,,,http://www.redfin.com/MA/West-Newton/144-Derby-St-02465/home/11434599,MLS PIN,72282319,N,Y,42.3580976,-71.2296709
PAST SALE,November-1-2017,Townhouse,3 Erie Ave #3,Newton,MA,02461,980000,3,2.5,Newton Highlands,1895,,1988,356,517,1003,Sold,,,http://www.redfin.com/MA/Newton/3-Erie-Ave-02461/unit-3/home/77466712,MLS PIN,72243052,N,Y,42.3208522,-71.2088856
PAST SALE,December-21-2017,Single Family Residential,58 Roundwood Rd,Newton,MA,02464,699000,3,2.0,Eliot Hill,1592,16150,1940,306,439,,Sold,,,http://www.redfin.com/MA/Newton/58-Roundwood-Rd-02464/home/11445440,MLS PIN,72250904,N,Y,42.31753,-71.2172927
PAST SALE,December-4-2017,Single Family Residential,15 Bacon Pl,Newton,MA,02464,920000,4,2.5,Highlands/Waban,1920,6300,1885,323,479,,Sold,,,http://www.redfin.com/MA/Newton/15-Bacon-Pl-02464/home/11455538,MLS PIN,72222928,N,Y,42.3184466,-71.2206213
PAST SALE,July-20-2017,Single Family Residential,1382 Beacon St,Newton,MA,02468,917000,3,2.0,Waban,1964,9946,1932,460,467,,Sold,,,http://www.redfin.com/MA/Waban/1382-Beacon-St-02468/home/11451163,MLS PIN,72166052,N,Y,42.3300979,-71.2202964
PAST SALE,September-11-2017,Single Family Residential,220 Woodward St,Newton,MA,02468,910000,4,3.5,Waban,2124,9679,1934,407,428,,Sold,,,http://www.redfin.com/MA/Waban/220-Woodward-St-02468/home/11453431,MLS PIN,72178112,N,Y,42.3228243,-71.2205749
PAST SALE,November-1-2017,Single Family Residential,925 Walnut St,Newton,MA,02461,555000,3,2.0,Newton,1440,6735,1860,356,385,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/925-Walnut-St-02461/home/11454366,MLS PIN,72227251,N,Y,42.3296044,-71.2070697
PAST SALE,September-8-2017,Single Family Residential,897 Chestnut St,Newton,MA,02468,1000000,4,2.5,Waban,2142,10000,1910,410,467,,Sold,,,http://www.redfin.com/MA/Waban/897-Chestnut-St-02468/home/11458125,MLS PIN,72177966,N,Y,42.3184464,-71.2263295
PAST SALE,February-1-2018,Single Family Residential,20 Kenneth St,Newton,MA,02461,610000,3,2.5,Newton Highlands,1512,5000,1993,264,403,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/20-Kenneth-St-02461/home/11488393,MLS PIN,72218191,N,Y,42.3131169,-71.2108753
PAST SALE,May-25-2018,Single Family Residential,30 Circuit Ave,Newton,MA,02461,919000,5,2.0,Newton Highlands,1656,7401,1920,151,555,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/30-Circuit-Ave-02461/home/11445854,MLS PIN,72296599,N,Y,42.3172914,-71.2162124
PAST SALE,May-31-2018,Single Family Residential,15 Terrace Ave,Newton,MA,02461,855000,3,2.0,Newton Highlands,1497,7139,1940,145,571,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/15-Terrace-Ave-02461/home/11454615,MLS PIN,72286094,N,Y,42.3250675,-71.2099007
PAST SALE,July-12-2018,Townhouse,60 High St #60,Newton,MA,02464,725000,3,2.5,Newton Upper Falls,1838,8700,1874,103,394,200,Sold,,,http://www.redfin.com/MA/Newton/60-High-St-02464/unit-60/home/145550180,MLS PIN,72319368,N,Y,42.3142224,-71.2236693
PAST SALE,August-6-2018,Single Family Residential,166 Plymouth Rd,Newton,MA,02461,955000,4,3.5,Newton Highlands,2350,8480,1926,78,406,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/166-Plymouth-Rd-02461/home/11454090,MLS PIN,72335614,N,Y,42.3244006,-71.2149594
PAST SALE,July-20-2018,Single Family Residential,45 Hickory Cliff Rd,Newton,MA,02464,965000,4,2.0,Newton,1908,6580,1939,95,506,,Sold,,,http://www.redfin.com/MA/Newton-Upper-Falls/45-Hickory-Cliff-Rd-02464/home/11445147,MLS PIN,72319638,N,Y,42.3162338,-71.2200644
PAST SALE,July-19-2018,Single Family Residential,238 Winchester St,Newton,MA,02461,858000,3,2.0,Newton Highlands,2230,9250,1930,96,385,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/238-Winchester-St-02461/home/11488484,MLS PIN,72339777,N,Y,42.3120255,-71.2086012
PAST SALE,July-31-2018,Single Family Residential,855 Chestnut St,Newton,MA,02468,925000,3,2.0,Waban,1659,10000,1929,84,558,,Sold,,,http://www.redfin.com/MA/Waban/855-Chestnut-St-02468/home/11458110,MLS PIN,72340791,N,Y,42.3200624,-71.2266544
PAST SALE,August-20-2018,Single Family Residential,33 Dedham St,Newton,MA,02461,820000,3,2.0,Newton Highlands,1628,6883,1942,64,504,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/33-Dedham-St-02461/home/11488167,MLS PIN,72335914,N,Y,42.3160368,-71.2074874
PAST SALE,September-28-2018,Single Family Residential,41 Keefe Ave,Newton,MA,02464,629000,3,2.0,Newton,1481,12694,1850,25,425,,Sold,,,http://www.redfin.com/MA/Newton/41-Keefe-Ave-02464/unit-41/home/137080927,MLS PIN,72363258,N,Y,42.3104844,-71.2257513
PAST SALE,,Townhouse,90 Christina St Unit A,Newton Highlands,MA,02461,650000,3,2.5,,1505,35393,2003,,432,,,,,http://www.redfin.com/MA/Newton-Highlands/90-Christina-St-02461/unit-A/home/11502101,,,N,Y,42.3065954,-71.212314
PAST SALE,October-5-2018,Single Family Residential,85 Carl St,Newton,MA,02461,792500,3,2.0,Newton Highlands,1365,7596,1950,18,581,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/85-Carl-St-02461/home/11489231,MLS PIN,72342894,N,Y,42.3083941,-71.2106433
PAST SALE,October-2-2018,Single Family Residential,19 Andrew St,Newton,MA,02461,940000,3,2.5,Newton Highlands,1884,12240,1960,21,499,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/19-Andrew-St-02461/home/11488020,MLS PIN,72372346,N,Y,42.3148654,-71.2053989
PAST SALE,September-24-2018,Single Family Residential,302 Woodward St,Newton,MA,02468,1000000,3,2.0,Waban,1607,11674,1954,29,622,,Sold,,,http://www.redfin.com/MA/Waban/302-Woodward-St-02468/home/11453369,MLS PIN,72310747,N,Y,42.3242153,-71.2239627
PAST SALE,,Condo/Co-op,39 Keefe Ave,Newton Upper Falls,MA,02464,629000,3,2.0,,1481,,1850,,425,,,,,http://www.redfin.com/MA/Newton-Upper-Falls/39-Keefe-Ave-02464/home/11447096,,,N,Y,42.3105914,-71.225819
